,Access Order,ID,Name,Continent,Country,Web Link,Star Rating,Elevation Change (m),Base Elevation (m),Max Elevation (m),Total Piste Length (km),Blue Piste Length (km),Red Piste Length (km),Black Piste Length (km),Ski Lifts,Ski Pass Cost,Photo URL,Photo,Page Link
17,18,146,St. Johann in Tirol/Oberndorf – Harschbichl,Europe,Austria,https://www.skiresort.info/ski-resort/st-johann-in-tiroloberndorf-harschbichl/,4,945 m,659 m,1604 m,42 km,15.5 km,23 km,3.5 km,16 ski lifts,"€ 48,-",https://www.skiresort.info/typo3temp/_processed_/35/59/92/24/9de3243f4e.jpg,St._Johann_in_Tirol/Oberndorf_–_Harschbichl_IDresort146.jpg,https://www.skiresort.info/ski-resorts/page/1/
18,19,89,Ischgl/Samnaun – Silvretta Arena,Europe,Austria,https://www.skiresort.info/ski-resort/ischglsamnaun-silvretta-arena/,4.8,1512 m,1360 m,2872 m,239 km,47 km,143 km,49 km,41 ski lifts,€ 53.50,https://www.skiresort.info/typo3temp/_processed_/3c/cd/dd/db/ce922b20fb.jpg,Ischgl/Samnaun_–_Silvretta_Arena_IDresort89.jpg,https://www.skiresort.info/ski-resorts/page/1/
19,20,341,Biberwier – Marienberg,Europe,Austria,https://www.skiresort.info/ski-resort/biberwier-marienberg/,3.4,820 m,1000 m,1820 m,11 km,7.3 km,3.7 km,0 km,5 ski lifts,€ 49.50,https://www.skiresort.info/typo3temp/_processed_/96/6c/c9/9f/f556df9b8a.jpg,Biberwier_–_Marienberg_IDresort341.jpg,https://www.skiresort.info/ski-resorts/page/1/
20,21,222,Belpiano (Schöneben)/Malga San Valentino (Haideralm),Europe,Italy,https://www.skiresort.info/ski-resort/belpiano-schoenebenmalga-san-valentino-haideralm/,4.2,930 m,1460 m,2390 m,65 km,29 km,30 km,6 km,10 ski lifts,€ 46.50,https://www.skiresort.info/typo3temp/_processed_/e1/11/19/94/5d9d0cb619.jpg,Belpiano_(Schöneben)/Malga_San_Valentino_(Haideralm)_IDresort222.jpg,https://www.skiresort.info/ski-resorts/page/1/
21,22,343,St. Jakob im Defereggental – Brunnalm,Europe,Austria,https://www.skiresort.info/ski-resort/st-jakob-im-defereggental-brunnalm/,3.8,1125 m,1400 m,2525 m,17 km,4.7 km,11.1 km,1.2 km,7 ski lifts,"€ 50,-",https://www.skiresort.info/typo3temp/_processed_/b0/03/36/65/bf9076899a.jpg,St._Jakob_im_Defereggental_–_Brunnalm_IDresort343.jpg,https://www.skiresort.info/ski-resorts/page/1/
22,23,217,Gitschberg Jochtal,Europe,Italy,https://www.skiresort.info/ski-resort/gitschberg-jochtal/,4.2,1203 m,1307 m,2510 m,55 km,18.5 km,27.2 km,9.3 km,15 ski lifts,"€ 52,-",https://www.skiresort.info/typo3temp/assets/_processed_/be/e5/56/60/9dbb72e672.jpg,Gitschberg_Jochtal_IDresort217.jpg,https://www.skiresort.info/ski-resorts/page/1/
23,24,139,Silvretta Montafon,Europe,Austria,https://www.skiresort.info/ski-resort/silvretta-montafon/,4.5,1730 m,700 m,2430 m,118 km,60 km,50 km,8 km,34 ski lifts,"€ 57,-",https://www.skiresort.info/typo3temp/_processed_/f6/6f/f9/9c/07e1cdb5c7.jpg,Silvretta_Montafon_IDresort139.jpg,https://www.skiresort.info/ski-resorts/page/1/
24,25,90,Großglockner Resort Kals-Matrei,Europe,Austria,https://www.skiresort.info/ski-resort/grossglockner-resort-kals-matrei/,4.2,1402 m,1020 m,2422 m,44.6 km,9.5 km,24.5 km,10.6 km,14 ski lifts,"€ 50,-",https://www.skiresort.info/typo3temp/_processed_/a1/12/2e/e1/1dc91589d4.jpg,Großglockner_Resort_Kals-Matrei_IDresort90.jpg,https://www.skiresort.info/ski-resorts/page/1/
25,26,130,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Europe,Austria,https://www.skiresort.info/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,4.7,1266 m,830 m,2096 m,270 km,140 km,112 km,18 km,70 ski lifts,"€ 53,-",https://www.skiresort.info/typo3temp/assets/_processed_/fe/e2/24/48/18474a4b96.jpg,Saalbach_Hinterglemm_Leogang_Fieberbrunn_(Skicircus)_IDresort130.jpg,https://www.skiresort.info/ski-resorts/page/1/
26,27,5,Arber,Europe,Germany,https://www.skiresort.info/ski-resort/arber/,3.6,406 m,1050 m,1456 m,11.5 km,4.5 km,4 km,3 km,6 ski lifts,"€ 36,-",https://www.skiresort.info/typo3temp/_processed_/62/2f/fd/de/b96314a44c.jpg,Arber_IDresort5.jpg,https://www.skiresort.info/ski-resorts/page/1/
27,28,1295,Folgaria/Fiorentini,Europe,Italy,https://www.skiresort.info/ski-resort/folgariafiorentini/,4,650 m,1200 m,1850 m,74 km,36.4 km,32 km,5.6 km,22 ski lifts,"€ 44,-",https://www.skiresort.info/typo3temp/_processed_/50/0f/ff/f9/f42a88d18b.jpg,Folgaria/Fiorentini_IDresort1295.jpg,https://www.skiresort.info/ski-resorts/page/1/
28,29,207,Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva,Europe,Italy,https://www.skiresort.info/ski-resort/madonna-di-campigliopinzolofolgaridamarilleva/,4.5,1652 m,852 m,2504 m,150 km,50 km,67 km,33 km,58 ski lifts,"€ 60,-",https://www.skiresort.info/typo3temp/_processed_/2a/ac/c0/0d/1825462528.jpg,Madonna_di_Campiglio/Pinzolo/Folgàrida/Marilleva_IDresort207.jpg,https://www.skiresort.info/ski-resorts/page/1/
29,30,231,Ponte di Legno/Tonale/Presena Glacier/Temù (Pontedilegno-Tonale),Europe,Italy,https://www.skiresort.info/ski-resort/ponte-di-legnotonalepresena-glaciertemu-pontedilegno-tonale/,4.2,1879 m,1121 m,3000 m,100 km,24 km,61 km,15 km,28 ski lifts,"€ 46,-",https://www.skiresort.info/typo3temp/_processed_/52/28/89/9d/4f856ab8ba.jpg,Ponte_di_Legno/Tonale/Presena_Glacier/Temù_(Pontedilegno-Tonale)_IDresort231.jpg,https://www.skiresort.info/ski-resorts/page/1/
30,31,185,Lauchernalp – Lötschental,Europe,Switzerland,https://www.skiresort.info/ski-resort/lauchernalp-loetschental/,3.8,1692 m,1419 m,3111 m,55 km,20 km,17 km,18 km,6 ski lifts,"SFr. 57,- / approx. € 52,-",https://www.skiresort.info/typo3temp/_processed_/49/93/31/16/9130295304.jpg,Lauchernalp_–_Lötschental_IDresort185.jpg,https://www.skiresort.info/ski-resorts/page/1/
31,32,1545,Mönichkirchen/Mariensee,Europe,Austria,https://www.skiresort.info/ski-resort/moenichkirchenmariensee/,3.6,567 m,865 m,1432 m,13.5 km,5.5 km,6 km,2 km,5 ski lifts,€ 38.50,https://www.skiresort.info/typo3temp/assets/_processed_/46/69/9d/d9/cba5a7ee0a.jpg,Mönichkirchen/Mariensee_IDresort1545.jpg,https://www.skiresort.info/ski-resorts/page/1/
32,33,1566,Pejo,Europe,Italy,https://www.skiresort.info/ski-resort/pejo/,3.7,1600 m,1400 m,3000 m,20 km,5 km,12.8 km,2.2 km,7 ski lifts,"€ 38,-",https://www.skiresort.info/typo3temp/_processed_/4a/a4/4c/c2/add5129970.jpg,Pejo_IDresort1566.jpg,https://www.skiresort.info/ski-resorts/page/1/
33,34,151,Turracher Höhe,Europe,Austria,https://www.skiresort.info/ski-resort/turracher-hoehe/,4.3,805 m,1400 m,2205 m,42 km,14 km,24.5 km,3.5 km,14 ski lifts,€ 48.50,https://www.skiresort.info/typo3temp/_processed_/28/89/98/84/f94c807a67.jpg,Turracher_Höhe_IDresort151.jpg,https://www.skiresort.info/ski-resorts/page/1/
34,35,101,Sonnenkopf – Klösterle,Europe,Austria,https://www.skiresort.info/ski-resort/sonnenkopf-kloesterle/,3.5,1300 m,1000 m,2300 m,29.5 km,12.8 km,15.9 km,0.8 km,9 ski lifts,"€ 45,-",https://www.skiresort.info/typo3temp/_processed_/1e/e2/21/1f/faf3b296a6.jpg,Sonnenkopf_–_Klösterle_IDresort101.jpg,https://www.skiresort.info/ski-resorts/page/1/
35,36,229,Klausberg – Steinhaus (Cadipietra),Europe,Italy,https://www.skiresort.info/ski-resort/klausberg-steinhaus-cadipietra/,4.1,1460 m,1050 m,2510 m,33 km,14 km,14 km,5 km,8 ski lifts,€ 49.50,https://www.skiresort.info/typo3temp/_processed_/c7/73/38/83/81e2ba9462.jpg,Klausberg_–_Steinhaus_(Cadipietra)_IDresort229.jpg,https://www.skiresort.info/ski-resorts/page/1/
36,37,170,Pizol – Bad Ragaz/Wangs,Europe,Switzerland,https://www.skiresort.info/ski-resort/pizol-bad-ragazwangs/,3.8,1718 m,509 m,2227 m,43 km,15.5 km,14.4 km,13.1 km,12 ski lifts,"SFr. 60,- / approx. € 54,-",https://www.skiresort.info/typo3temp/_processed_/64/46/6b/bd/1d160155bf.jpg,Pizol_–_Bad_Ragaz/Wangs_IDresort170.jpg,https://www.skiresort.info/ski-resorts/page/1/
37,38,33245,Wildhaus – Gamserrugg (Toggenburg),Europe,Switzerland,https://www.skiresort.info/ski-resort/wildhaus-gamserrugg-toggenburg/,3.9,1056 m,1020 m,2076 m,23 km,3 km,17 km,3 km,6 ski lifts,"SFr. 55,- / approx. € 50,-",https://www.skiresort.info/typo3temp/assets/_processed_/99/9e/e2/25/1a0184ceda.jpg,Wildhaus_–_Gamserrugg_(Toggenburg)_IDresort33245.jpg,https://www.skiresort.info/ski-resorts/page/1/
38,39,162,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,Europe,Austria,https://www.skiresort.info/ski-resort/zillertal-arena-zell-am-zillergerloskoenigsleitenhochkrimml/,4.7,1920 m,580 m,2500 m,146.7 km,49 km,87 km,10.7 km,52 ski lifts,€ 57.50,https://www.skiresort.info/typo3temp/assets/_processed_/e9/9f/fe/e4/9c42e3f7a1.jpg,Zillertal_Arena_–_Zell_am_Ziller/Gerlos/Königsleiten/Hochkrimml_IDresort162.jpg,https://www.skiresort.info/ski-resorts/page/1/
39,40,505,Ehrwalder Wettersteinbahnen – Ehrwald,Europe,Austria,https://www.skiresort.info/ski-resort/ehrwalder-wettersteinbahnen-ehrwald/,3.4,530 m,1000 m,1530 m,23 km,15 km,5 km,3 km,4 ski lifts,€ 49.50,https://www.skiresort.info/typo3temp/_processed_/01/1c/c8/88/86435e8ec2.jpg,Ehrwalder_Wettersteinbahnen_–_Ehrwald_IDresort505.jpg,https://www.skiresort.info/ski-resorts/page/1/
40,41,148,Schlick 2000 – Fulpmes,Europe,Austria,https://www.skiresort.info/ski-resort/schlick-2000-fulpmes/,3.6,1231 m,1009 m,2240 m,22 km,12 km,6.8 km,3.2 km,9 ski lifts,"€ 42,-",https://www.skiresort.info/typo3temp/_processed_/0e/e5/55/5f/79380c42ab.jpg,Schlick_2000_–_Fulpmes_IDresort148.jpg,https://www.skiresort.info/ski-resorts/page/1/
41,42,469,San Martino di Castrozza,Europe,Italy,https://www.skiresort.info/ski-resort/san-martino-di-castrozza/,4,953 m,1404 m,2357 m,60 km,16 km,32 km,12 km,21 ski lifts,"€ 50,-",https://www.skiresort.info/typo3temp/assets/_processed_/ed/d2/2a/aa/6f4bfd6f6a.jpg,San_Martino_di_Castrozza_IDresort469.jpg,https://www.skiresort.info/ski-resorts/page/1/
42,43,38,Ofterschwang/Gunzesried – Ofterschwanger Horn,Europe,Germany,https://www.skiresort.info/ski-resort/ofterschwanggunzesried-ofterschwanger-horn/,3.6,525 m,880 m,1405 m,16.5 km,4.6 km,9.2 km,2.7 km,7 ski lifts,"€ 43,-",https://www.skiresort.info/typo3temp/_processed_/33/3f/f1/1c/681ec5b36b.jpg,Ofterschwang/Gunzesried_–_Ofterschwanger_Horn_IDresort38.jpg,https://www.skiresort.info/ski-resorts/page/1/
43,44,114,Grebenzen – St. Lambrecht,Europe,Austria,https://www.skiresort.info/ski-resort/grebenzen-st-lambrecht/,3.3,860 m,1010 m,1870 m,12.2 km,2.9 km,9 km,0.3 km,8 ski lifts,"€ 38,-",https://www.skiresort.info/typo3temp/assets/_processed_/fb/b9/98/83/c7346f1700.jpg,Grebenzen_–_St._Lambrecht_IDresort114.jpg,https://www.skiresort.info/ski-resorts/page/1/
44,45,230,Speikboden – Sand in Taufers (Campo Tures),Europe,Italy,https://www.skiresort.info/ski-resort/speikboden-sand-in-taufers-campo-tures/,4,1450 m,950 m,2400 m,40 km,21.6 km,12.7 km,5.7 km,8 ski lifts,€ 49.50,https://www.skiresort.info/typo3temp/_processed_/ec/c5/59/9f/cc4197f18f.jpg,Speikboden_–_Sand_in_Taufers_(Campo_Tures)_IDresort230.jpg,https://www.skiresort.info/ski-resorts/page/1/
45,46,68,Filzmoos,Europe,Austria,https://www.skiresort.info/ski-resort/filzmoos/,3.7,621 m,970 m,1591 m,20 km,9 km,10 km,1 km,8 ski lifts,"€ 49,-",https://www.skiresort.info/typo3temp/assets/_processed_/d2/24/49/94/130a74b23d.jpg,Filzmoos_IDresort68.jpg,https://www.skiresort.info/ski-resorts/page/1/
46,47,93,Kitzsteinhorn/Maiskogel – Kaprun,Europe,Austria,https://www.skiresort.info/ski-resort/kitzsteinhornmaiskogel-kaprun/,4.4,2261 m,768 m,3029 m,61 km,29 km,23 km,9 km,21 ski lifts,"€ 53,-",https://www.skiresort.info/typo3temp/_processed_/71/17/74/4a/f986e14bc6.jpg,Kitzsteinhorn/Maiskogel_–_Kaprun_IDresort93.jpg,https://www.skiresort.info/ski-resorts/page/1/
47,48,175,Flumserberg,Europe,Switzerland,https://www.skiresort.info/ski-resort/flumserberg/,4,1557 m,665 m,2222 m,65 km,10 km,38 km,17 km,17 ski lifts,"SFr. 67,- / approx. € 61,-",https://www.skiresort.info/typo3temp/_processed_/54/44/4a/a0/a067097f54.jpg,Flumserberg_IDresort175.jpg,https://www.skiresort.info/ski-resorts/page/1/
48,49,1296,Monte Bondone,Europe,Italy,https://www.skiresort.info/ski-resort/monte-bondone/,3.8,901 m,1189 m,2090 m,18.8 km,4.8 km,14 km,0 km,4 ski lifts,"€ 40,-",https://www.skiresort.info/typo3temp/assets/_processed_/ea/af/f1/1b/c9863b0b4b.jpg,Monte_Bondone_IDresort1296.jpg,https://www.skiresort.info/ski-resorts/page/1/
49,50,115,Kreischberg,Europe,Austria,https://www.skiresort.info/ski-resort/kreischberg/,3.9,1250 m,868 m,2118 m,42.5 km,17.5 km,16 km,9 km,13 ski lifts,"€ 48,-",https://www.skiresort.info/typo3temp/_processed_/22/2d/de/e3/7f4caf2755.jpg,Kreischberg_IDresort115.jpg,https://www.skiresort.info/ski-resorts/page/1/
50,51,2346,Elm im Sernftal,Europe,Switzerland,https://www.skiresort.info/ski-resort/elm-im-sernftal/,3.7,1085 m,1020 m,2105 m,40 km,15 km,20 km,5 km,5 ski lifts,"SFr. 49,- / approx. € 44,-",https://www.skiresort.info/typo3temp/_processed_/29/93/37/71/a62b70a213.jpg,Elm_im_Sernftal_IDresort2346.jpg,https://www.skiresort.info/ski-resorts/page/2/
51,52,382,Almenwelt Lofer,Europe,Austria,https://www.skiresort.info/ski-resort/almenwelt-lofer/,4,1030 m,640 m,1670 m,46 km,32 km,12 km,2 km,10 ski lifts,"€ 46,-",https://www.skiresort.info/typo3temp/assets/_processed_/25/52/2a/a7/21ccbfcf25.jpg,Almenwelt_Lofer_IDresort382.jpg,https://www.skiresort.info/ski-resorts/page/2/
52,53,360,Ramsau am Dachstein – Rittisberg,Europe,Austria,https://www.skiresort.info/ski-resort/ramsau-am-dachstein-rittisberg/,3.3,601 m,1035 m,1636 m,25 km,14 km,10 km,1 km,9 ski lifts,€ 39.50,https://www.skiresort.info/typo3temp/_processed_/a6/63/32/2d/80b5f5fd2d.jpg,Ramsau_am_Dachstein_–_Rittisberg_IDresort360.jpg,https://www.skiresort.info/ski-resorts/page/2/
53,54,218,Paganella – Andalo,Europe,Italy,https://www.skiresort.info/ski-resort/paganella-andalo/,4.1,1085 m,1040 m,2125 m,40 km,11 km,27.8 km,1.2 km,14 ski lifts,"€ 47,-",https://www.skiresort.info/typo3temp/assets/_processed_/71/10/09/99/896caaf4ec.jpg,Paganella_–_Andalo_IDresort218.jpg,https://www.skiresort.info/ski-resorts/page/2/
54,55,1305,Lachtal,Europe,Austria,https://www.skiresort.info/ski-resort/lachtal/,3.7,622 m,1600 m,2222 m,26.2 km,7.2 km,16 km,3 km,10 ski lifts,"€ 45,-",https://www.skiresort.info/typo3temp/_processed_/04/43/34/45/c628d70332.jpg,Lachtal_IDresort1305.jpg,https://www.skiresort.info/ski-resorts/page/2/
55,56,37,Fichtelberg – Oberwiesenthal,Europe,Germany,https://www.skiresort.info/ski-resort/fichtelberg-oberwiesenthal/,3.3,304 m,911 m,1215 m,15.5 km,6.8 km,6.1 km,2.6 km,6 ski lifts,"€ 32,-",https://www.skiresort.info/typo3temp/_processed_/97/7f/f6/64/17c11dbb88.jpg,Fichtelberg_–_Oberwiesenthal_IDresort37.jpg,https://www.skiresort.info/ski-resorts/page/2/
56,57,190,Scuol – Motta Naluns,Europe,Switzerland,https://www.skiresort.info/ski-resort/scuol-motta-naluns/,4.2,1535 m,1250 m,2785 m,70 km,27 km,32 km,11 km,10 ski lifts,"SFr. 58,- / approx. € 52,-",https://www.skiresort.info/typo3temp/_processed_/a6/63/37/70/db1bc81017.jpg,Scuol_–_Motta_Naluns_IDresort190.jpg,https://www.skiresort.info/ski-resorts/page/2/
57,58,57,Axamer Lizum,Europe,Austria,https://www.skiresort.info/ski-resort/axamer-lizum/,3.7,760 m,1580 m,2340 m,30 km,7 km,21 km,2 km,10 ski lifts,"€ 43,-",https://www.skiresort.info/typo3temp/_processed_/3f/f3/33/3f/6601e93e32.jpg,Axamer_Lizum_IDresort57.jpg,https://www.skiresort.info/ski-resorts/page/2/
58,59,187,Hohsaas – Saas-Grund,Europe,Switzerland,https://www.skiresort.info/ski-resort/hohsaas-saas-grund/,3.8,1583 m,1559 m,3142 m,34.5 km,12 km,21.3 km,1.2 km,6 ski lifts,"SFr. 56,- / approx. € 51,-",https://www.skiresort.info/typo3temp/_processed_/c6/6f/fe/ec/a1b1c22f21.jpg,Hohsaas_–_Saas-Grund_IDresort187.jpg,https://www.skiresort.info/ski-resorts/page/2/
59,60,145,St. Anton/St. Christoph/Stuben/Lech/Zürs/Warth/Schröcken – Ski Arlberg,Europe,Austria,https://www.skiresort.info/ski-resort/st-antonst-christophstubenlechzuerswarthschroecken-ski-arlberg/,4.8,1511 m,1300 m,2811 m,303 km,130 km,122 km,51 km,88 ski lifts,"€ 59,-",https://www.skiresort.info/typo3temp/_processed_/d4/45/5d/d2/16dc13940a.jpg,St._Anton/St._Christoph/Stuben/Lech/Zürs/Warth/Schröcken_–_Ski_Arlberg_IDresort145.jpg,https://www.skiresort.info/ski-resorts/page/2/
60,61,137,Serfaus-Fiss-Ladis,Europe,Austria,https://www.skiresort.info/ski-resort/serfaus-fiss-ladis/,4.8,1628 m,1200 m,2828 m,198 km,47 km,123 km,28 km,39 ski lifts,"€ 56,-",https://www.skiresort.info/typo3temp/_processed_/b3/35/5e/ee/ff889128c8.jpg,Serfaus-Fiss-Ladis_IDresort137.jpg,https://www.skiresort.info/ski-resorts/page/2/
61,62,335,Whistler Blackcomb,North America,Canada,https://www.skiresort.info/ski-resort/whistler-blackcomb/,4.7,1609 m,675 m,2284 m,200 km,40 km,110 km,50 km,23 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/c4/49/90/05/30ef3c152a.jpg,Whistler_Blackcomb_IDresort335.jpg,https://www.skiresort.info/ski-resorts/page/2/
62,63,5205,St. Moritz – Corviglia,Europe,Switzerland,https://www.skiresort.info/ski-resort/st-moritz-corviglia/,4.7,1302 m,1720 m,3022 m,155 km,42 km,79 km,34 km,23 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/05/56/65/5e/2f1d60a192.jpg,St._Moritz_–_Corviglia_IDresort5205.jpg,https://www.skiresort.info/ski-resorts/page/2/
